Day;Avg Temp;Humidity;Rain;Precipitation
1;74;84;1;0.45
2;75;56;0;0
3;74;47;0;0
4;74;62;1;0.52
5;81;67;1;0.47
6;80;67;0;0
7;82;77;1;0.07
8;78;78;1;0.02
9;69;85;1;0.25
10;76;69;;
11;75;63;0;0
12;73;71;0;0
13;76;76;;
14;80;84;1;0.28
15;85;68;0;0
16;81;63;1;0.07
17;80;71;0;0
18;83;70;1;0.18
19;80;57;0;0
20;75;52;0;0
21;78;65;0;0
22;82;70;0;0
23;88;55;0;0
24;82;59;0;0
25;81;80;1;2.47
26;84;60;0;0
27;82;66;0;0
28;81;77;;
29;78;73;1;0.65
30;79;80;1;0.18
31;77;87;1;0.45
